,0,1,2
0,-33.473999,15.2228003,-9.39871979
1,-32.3597984,14.6300001,-8.4914999
2,-31.7208004,15.5755997,-7.47219992
3,-32.0070992,15.2187996,-5.98197985
4,-31.5844002,13.8003998,-5.58514977
5,-31.9757004,13.2356005,-4.29271984
6,-31.2166004,11.9897003,-3.8826201
7,-31.5827007,11.7011995,-2.5104301
8,-33.0960999,11.3175001,-2.38820004
9,-33.7877998,11.2511997,-1.00478995
10,-35.2436981,11.2038002,-1.06411004
11,-35.8568001,11.5506001,0.266703993
12,-37.3432999,11.9327002,0.396066993
13,-38.301899,10.8730001,-0.268792987
14,-38.2340012,9.51784039,0.415324003
15,-38.4939957,9.46718025,2.01541996
16,-38.9409981,8.06667995,2.44604993
17,-39.2244987,7.91579008,3.92389989
18,-39.259697,6.4928298,4.34782982
19,-37.868,5.71949005,4.27837992
20,-37.1114006,5.67954016,5.60475016
21,-37.9659996,5.55600023,6.92687988
22,-37.175499,5.74780989,8.2490797
23,-36.0593987,4.72686005,8.54967976
24,-36.1460991,4.34861994,10.0949001
25,-37.2132988,3.27039003,10.2355003
26,-37.3269005,2.77987003,11.6831999
27,-37.5786018,1.31177998,11.6641998
28,-36.6647987,0.455597013,10.7333002
29,-35.1918983,0.603655994,11.1683998
30,-0.197935,33.1137009,-35.9961014
31,-1.71157002,33.2750015,-36.1501999
32,-2.16763997,34.4564018,-37.0139008
33,-3.53873992,34.5150986,-37.5042992
34,-4.09974003,35.7994995,-38.1418991
35,-5.56022978,35.8026009,-38.6251984
36,-6.29594994,37.0527992,-38.1459007
37,-5.74920988,38.3745995,-38.5376015
38,-5.97629976,38.5644989,-40.0900955
39,-7.40576982,38.4421005,-40.4827957
40,-8.39865971,39.2164955,-39.6450958
41,-9.64741993,39.6049957,-40.4257965
42,-9.42199039,40.6692963,-41.5027962
43,-10.5984001,41.1770973,-42.3145981
44,-10.2420998,41.8503952,-43.7176971
45,-11.0469999,41.4392967,-44.9856949
46,-10.5578003,42.2152977,-46.2900963
47,-11.4368,41.9208984,-47.5500946
48,-10.7608995,42.273098,-48.9312973
49,-11.4919004,41.9060974,-50.2520981
50,-10.6567001,42.1590958,-51.5238953
51,-9.12065029,42.1018982,-51.2437973
52,-8.34189034,41.8698959,-52.5053978
53,-6.80272007,42.0511971,-52.5084991
54,-6.35887003,41.9038963,-53.9853973
55,-5.05810022,42.7115974,-54.0200958
56,-4.50268984,42.5131989,-55.4598999
57,-3.09639001,43.1036987,-55.7563972
58,-2.71506,42.5783958,-57.1504974
59,-2.11264992,43.6581955,-58.1441956
60,11.5241003,-30.4542999,-21.4713001
61,11.2262001,-30.5680008,-22.9682007
62,10.0187998,-31.4634991,-23.2980995
63,9.95580006,-31.9248009,-24.7287006
64,8.75022984,-32.8401985,-24.8467007
65,8.86676025,-34.1832008,-24.0282001
66,7.7564702,-35.2150002,-24.4125004
67,6.40448999,-35.0905991,-23.6343002
68,5.22788,-36.009201,-23.9454002
69,4.12388992,-35.9552002,-22.8810997
70,3.05999994,-37.1148987,-22.9407005
71,1.72529995,-36.5052986,-23.4253006
72,0.802841008,-37.591301,-23.9927006
73,-0.531472027,-37.1587982,-24.5337009
74,-0.536679029,-36.8228989,-26.0769005
75,0.0415985994,-37.9564018,-26.9473991
76,-0.191382006,-37.7048988,-28.4452991
77,0.565895021,-38.6729965,-29.4034004
78,0.527014017,-40.1852989,-29.1352005
79,-0.641767025,-40.9293976,-29.8607006
80,-0.152824,-40.9294968,-31.3127003
81,-0.720404029,-41.9041977,-32.3363991
82,-1.83254004,-41.104496,-33.1477013
83,-3.27000999,-41.2567978,-32.6734009
84,-3.99284005,-42.5348969,-32.7905006
85,-5.5015502,-42.6386986,-32.3795013
86,-6.47196007,-41.8463974,-33.3171997
87,-7.96698999,-41.6117973,-32.8149986
88,-8.99044991,-41.8090973,-33.8577995
89,-9.37506008,-43.2915955,-34.0769997
90,16.5960999,-17.2887001,21.7884007
91,16.3171997,-16.3334999,22.9866009
92,17.1667995,-16.4992008,24.2271996
93,17.0566006,-15.3476,25.2961006
94,17.2887993,-13.9525995,24.7898006
95,16.8456001,-12.9347,25.9346008
96,15.3620005,-12.9062996,26.2964993
97,15.0866003,-11.8765001,27.3918991
98,13.5607996,-12.0143995,27.7029991
99,12.9160004,-10.9594002,28.6102009
100,13.4748001,-10.8601999,30.0797997
101,12.4445,-10.4043999,31.1797009
102,11.6394997,-11.5535002,31.8136997
103,10.6314001,-11.0604,32.9129982
104,9.95203972,-12.1879997,33.6253014
105,9.25158024,-11.9420004,34.9950981
106,7.93006992,-11.1021004,34.9911995
107,7.35158014,-10.9504995,36.4315987
108,6.45295,-9.75817966,36.5229988
109,5.56156015,-9.6401701,37.8479996
110,4.83474016,-10.9602003,37.8003998
111,3.9946599,-11.4165001,38.9601974
112,2.94092011,-12.4490995,38.6982956
113,1.87155998,-12.7437,39.7324982
114,2.26493001,-12.974,41.1761971
115,1.02839005,-13.1654997,42.0161972
116,0.330893993,-11.7608004,42.0134964
117,1.31377006,-10.7341995,42.5528984
118,0.753607988,-9.27562046,42.3379974
119,1.93549001,-8.35130024,42.5615959
120,-20.8570004,3.36631989,-7.59845018
121,-19.7628002,4.4495101,-7.79320002
122,-19.6693001,5.57176018,-6.75635004
123,-19.3365002,5.14455986,-5.32699013
124,-18.8428001,6.38718987,-4.65739012
125,-18.7285004,6.15583992,-3.12326002
126,-18.3976994,7.43477011,-2.42448997
127,-18.4291992,7.32617998,-0.899707019
128,-17.9323006,8.54327011,-0.0713431984
129,-18.4557991,8.6739502,1.38903999
130,-17.9764996,10.0345001,1.87758005
131,-17.9638996,9.98946953,3.43501997
132,-17.2917004,11.2276001,3.85623002
133,-17.8754997,12.4710999,3.43198991
134,-17.0951996,13.7531004,3.35714006
135,-17.8462009,14.8259001,2.5316999
136,-17.1100998,16.2073002,2.4844501
137,-18.0172997,17.4543991,2.47774005
138,-18.9979992,17.3048,1.29482996
139,-19.6186008,18.6053009,0.758307993
140,-20.7563,18.4797001,-0.313562006
141,-20.5118008,17.3080997,-1.30656004
142,-21.6578007,16.8020992,-2.2604599
143,-21.406601,15.6870003,-3.27829003
144,-22.5146999,14.7608004,-3.40395999
145,-22.5209999,13.6768999,-4.56000996
146,-23.7730999,12.8579998,-4.79646015
147,-24.1539993,11.7999001,-3.76840997
148,-25.3479996,10.9692001,-4.19967985
149,-25.8645,10.0267,-3.02744007
150,8.55274963,8.07061958,19.5725994
151,8.47708988,6.89237022,20.5667992
152,9.55852985,6.94298983,21.6508999
153,9.76914978,5.48027992,21.9976997
154,10.8021002,5.06087017,23.0457001
155,10.5587997,5.77186012,24.4181004
156,11.1142998,5.08023024,25.6856995
157,10.802,5.63354015,27.1196995
158,11.0475998,4.50697994,28.1518002
159,10.9975996,4.83245993,29.6252003
160,10.6745005,3.56331992,30.4081001
161,9.23921967,3.10424995,30.5030994
162,8.51004028,3.76917005,31.6678009
163,7.37841988,2.96735001,32.3213005
164,7.02611017,3.40635991,33.7356987
165,7.98354006,2.99045992,34.7713013
166,7.43311977,3.12092996,36.2094994
167,7.18975019,4.57898998,36.7835007
168,8.33425045,5.53955984,36.7501984
169,7.97470999,6.64804983,37.7755013
170,8.93844986,7.91410017,37.7984009
171,8.2198,9.12922955,38.3566017
172,8.04603004,9.06974983,39.9077988
173,6.87589979,9.97297001,40.3097954
174,7.11206007,9.99232006,41.8307953
175,6.38143015,11.0764999,42.6913986
176,6.74343014,10.8481998,44.0700989
177,6.07574987,11.7917995,45.1771965
178,7.02923012,12.3073997,46.1191978
179,6.45787001,13.4829998,46.9628983
180,-25.8658009,-21.0093002,-21.6329002
181,-26.6826,-21.8484001,-22.6455002
182,-27.4573994,-20.8992996,-23.4918003
183,-26.7852001,-20.7845993,-24.8449001
184,-27.7234001,-20.9927006,-26.0079002
185,-29.1534004,-20.6620998,-25.5666008
186,-30.0386009,-21.1236992,-26.7026997
187,-31.5764008,-20.8448009,-26.5433006
188,-32.2216988,-19.4694004,-26.1224003
189,-33.712101,-19.3605995,-26.5098
190,-34.1554985,-19.7507,-27.8889999
191,-35.6953011,-19.7768993,-28.0664997
192,-36.2324982,-20.0967999,-29.5112
193,-36.3574982,-21.4699993,-30.2805996
194,-37.0646019,-21.1793003,-31.6018009
195,-37.4547005,-22.5370998,-32.2882996
196,-36.2807007,-23.4505005,-32.6547012
197,-35.1371994,-22.7719994,-33.4076996
198,-33.8711014,-23.6166992,-33.6991005
199,-34.1792984,-24.7516003,-34.706501
200,-35.0144005,-24.4727001,-35.9477005
201,-34.1002007,-24.0582008,-37.2364998
202,-34.7841988,-23.6047001,-38.5215988
203,-33.6940002,-23.6627998,-39.6083984
204,-34.1708984,-23.4120998,-41.030098
205,-35.0816002,-24.6371994,-41.6059952
206,-35.4785004,-24.4097996,-43.0299988
207,-36.0723,-25.6207008,-43.7704964
208,-36.5542984,-25.2908001,-45.2338943
209,-37.0635986,-26.4435005,-45.9390945
210,27.8659,14.5396996,-11.5788002
211,28.7162991,13.5401001,-10.6718998
212,29.2786999,14.3000002,-9.42665005
213,29.2310009,13.4118996,-8.15485954
214,29.7542992,14.1082001,-6.86872005
215,29.7831993,13.2868996,-5.58076
216,30.6494999,14.1111002,-4.63549995
217,31.2807007,13.4874001,-3.35279012
218,32.6706009,12.8472004,-3.64910007
219,33.1528015,11.8205004,-2.5968399
220,34.5276985,12.2481003,-2.00699997
221,34.6609993,13.7194004,-1.86575997
222,36.0019989,14.2606001,-1.32358003
223,36.074501,15.7845001,-1.18620002
224,37.3292999,16.3320999,-0.523100972
225,38.5516968,15.6911001,-1.16459
226,39.8415985,16.1711006,-0.498822987
227,40.0781975,15.5215998,0.851468027
228,41.4261971,16.0400009,1.43104005
229,42.7194977,15.8717003,0.650219977
230,43.4538956,14.7433996,1.33552003
231,44.8462982,14.4946003,0.659263015
232,45.4545975,13.1103001,1.05962002
233,46.9962997,13.2470999,1.01777005
234,47.7876968,11.8676996,1.22829998
235,47.3652954,10.6591997,0.334403992
236,48.0318985,9.35181999,0.666306019
237,47.3548965,8.19435024,-0.0275289994
238,47.2751999,8.17677021,-1.61044002
239,47.104599,6.76783991,-2.19891
240,14.7097998,18.5576992,22.0823002
241,15.3083,17.1821995,21.9323006
242,15.1816998,16.3005009,23.2080002
243,16.1716995,15.1324997,23.1478996
244,16.1205006,14.1688995,24.3192005
245,17.4321003,13.4322004,24.6035995
246,17.3195992,12.4442997,25.7490997
247,17.0121002,13.1499004,27.0501003
248,17.3929996,12.2825003,28.3047009
249,16.4311008,12.1338997,29.5548
250,15.2329998,11.1001997,29.2406998
251,14.7028999,10.427,30.4694004
252,13.6254997,9.35358047,30.2796993
253,14.1115999,7.93026018,29.8840008
254,15.2355003,7.57341003,30.8897991
255,15.9359999,6.2364502,30.5226002
256,17.1700993,5.97312021,31.3999996
257,17.9006004,4.68014002,30.9531994
258,17.0459003,3.44862008,31.0098991
259,16.9871998,2.86132002,32.4146996
260,18.2453995,2.41681004,33.078701
261,18.3476009,1.82968998,34.4832001
262,17.6800003,2.86630011,35.4606018
263,18.6518002,3.95151997,35.9213982
264,18.2964001,4.69271994,37.2271004
265,18.9799995,5.97904015,37.5704994
266,18.6438007,6.42117977,38.9439964
267,19.1492004,7.76487017,39.5016975
268,19.3871002,7.52844,40.9994965
269,20.5653,6.52022982,41.2042961
270,-28.2070007,32.7146988,-11.9201002
271,-26.7959003,32.8650017,-11.3604002
272,-25.7427998,32.2271004,-12.3471003
273,-25.6039009,30.7035007,-12.2676001
274,-24.5072002,30.2432003,-13.1898003
275,-24.1228008,28.7637005,-13.1552
276,-22.8978996,28.7042007,-14.0516005
277,-23.1396999,29.5701008,-15.2351999
278,-21.8740997,29.4629993,-16.1709995
279,-21.8143997,30.4081993,-17.4015999
280,-20.9937,29.6595001,-18.4535007
281,-20.8129005,30.3553009,-19.8257008
282,-19.7022991,29.7756996,-20.6898003
283,-18.3013,29.6926003,-20.0753994
284,-17.8712997,30.9466,-19.2856007
285,-16.4946995,30.5351009,-18.7772999
286,-15.4815998,30.1839008,-19.9514999
287,-14.1623001,29.5783005,-19.3908997
288,-13.2886,30.6375999,-18.8358002
289,-12.0769997,29.9363995,-18.4232998
290,-10.9476995,30.6233006,-17.7360001
291,-10.2079,31.7045002,-18.5291004
292,-9.0051899,32.4099998,-17.8836994
293,-8.83850002,33.8202019,-18.4531002
294,-7.46702003,34.3894997,-18.1480999
295,-7.12125015,35.5373993,-19.1000004
296,-5.80756998,36.3983002,-18.8715
297,-4.65887022,35.8846016,-19.7364006
298,-3.34465003,36.6953011,-19.5596008
299,-2.4374001,36.1659012,-20.6399994
300,15.7902002,30.1035995,2.81536007
301,14.7427998,29.9939995,1.72100997
302,14.8017998,31.1739998,0.706587017
303,13.5755997,31.2791996,-0.242392004
304,13.8845997,32.2900009,-1.51134002
305,12.7621002,32.8767014,-2.29052997
306,11.5783005,33.5018997,-1.53710997
307,10.7364998,34.4636993,-2.42823005
308,9.64628029,35.3569984,-1.80071998
309,8.97751045,36.3291016,-2.85452008
310,7.8406601,35.5842018,-3.56779003
311,7.15920019,36.3184013,-4.63984013
312,5.95927,35.7145004,-5.35840988
313,5.44383001,36.7186012,-6.35830021
314,6.36324978,37.0439987,-7.50693989
315,5.51047993,37.9171982,-8.50004005
316,4.18466997,37.354599,-8.8881197
317,3.30212998,38.3284988,-9.74676037
318,1.90549004,37.8544998,-10.1034002
319,1.21517003,39.0697975,-10.6962004
320,0.870021999,40.2026978,-9.83533001
321,-0.0503898002,41.2848969,-10.5397997
322,-0.101402,42.3905983,-9.5211401
323,-0.886623025,43.6445961,-9.99637032
324,-0.458447993,44.3385963,-11.3122997
325,-1.10970998,45.6896973,-11.6395998
326,-0.492466986,46.4659958,-12.8424997
327,0.764554024,47.2669983,-12.7328997
328,0.986891985,47.9916992,-14.0312996
329,2.38197994,48.6610947,-14.1403999
330,26.3358994,-26.3598003,-34.2942009
331,27.7947998,-26.4216003,-33.6885986
332,28.2406006,-25.0433998,-33.6027985
333,28.4027996,-24.4195995,-34.9627991
334,29.7507,-23.6896,-35.049099
335,29.6790009,-22.8533993,-36.3171997
336,30.6033993,-21.6553993,-36.1759987
337,30.9034996,-21.0741005,-37.6036987
338,31.6602993,-22.1473007,-38.3288002
339,31.8789997,-21.7903996,-39.8520966
340,33.2266006,-22.1163006,-40.4967957
341,33.3979988,-21.5007,-41.8581963
342,34.6817017,-22.0552998,-42.4662971
343,35.2537994,-21.5151005,-43.8040962
344,36.4659004,-22.2485008,-44.4116974
345,37.509201,-21.2707996,-45.1207962
346,38.2700005,-20.4834995,-44.001297
347,39.2126961,-19.552,-44.7089958
348,39.7349968,-18.3717003,-43.8954964
349,40.8454971,-18.6968002,-42.9180984
350,41.873497,-19.7278004,-43.4037971
351,43.0317955,-19.4109001,-44.4201965
352,43.7225952,-20.7845001,-44.7661972
353,42.990097,-21.7600002,-45.5459976
354,43.5949974,-22.8071995,-46.4276962
355,44.1925964,-23.9799995,-45.5934982
356,44.7954979,-25.0487003,-46.4794998
357,44.9542999,-26.4130001,-45.6344986
358,45.3901978,-27.6847992,-46.449295
359,46.4616966,-28.3843002,-45.6576996
360,-24.8838005,-32.2223015,-26.3283005
361,-24.9741993,-32.1176987,-24.7849007
362,-23.7429008,-32.6355019,-24.0713005
363,-23.1576004,-33.8571014,-24.6854992
364,-21.718399,-34.1811981,-24.3673
365,-20.9360008,-34.7565002,-25.5244999
366,-19.4410992,-35.1635017,-25.2677994
367,-19.2700005,-35.7279015,-23.9199009
368,-17.8463001,-35.9000015,-23.4328995
369,-17.7010002,-36.5115013,-21.9839001
370,-17.5256004,-35.1987,-21.1958008
371,-17.8878002,-35.4864998,-19.7427998
372,-19.3236008,-36.0112991,-19.4599991
373,-19.5718002,-36.7057991,-18.1177006
374,-20.4370003,-35.8358002,-17.1986008
375,-20.7642002,-36.4536018,-15.7772999
376,-19.6511993,-37.1720009,-15.0164003
377,-20.1515007,-37.9478989,-13.8403997
378,-18.8462009,-38.1912003,-13.1055002
379,-17.9190006,-39.1919975,-13.7923002
380,-16.8405991,-39.5933952,-12.7482996
381,-15.4750996,-40.0820961,-13.2594995
382,-15.3205004,-41.5184975,-13.8702002
383,-14.0474005,-41.7577972,-14.6767998
384,-13.6508999,-43.2040977,-15.1160002
385,-14.4025002,-43.6751976,-16.3400002
386,-14.2510004,-42.7574959,-17.6077003
387,-12.8408003,-42.369297,-18.0482006
388,-12.9214001,-41.5436974,-19.3469009
389,-11.4784002,-41.1824989,-19.8645992
390,10.5262003,-30.8302002,-37.9566002
391,9.64760971,-30.3423004,-39.1590958
392,10.2782001,-29.8446999,-40.486599
393,9.35910988,-28.8281994,-41.1601982
394,9.59053993,-28.4046993,-42.5977974
395,9.42424965,-29.6289997,-43.6098976
396,9.5909996,-29.4640007,-45.1949997
397,9.32616997,-30.7430992,-46.1462975
398,9.60597992,-30.1331997,-47.5512962
399,9.71471977,-31.0310993,-48.756897
400,10.1499996,-32.5266991,-48.5565948
401,11.5390997,-32.6394005,-47.9433975
402,11.9875002,-34.0760994,-48.3845978
403,11.0183001,-35.2204018,-47.8187943
404,11.8374996,-36.5191994,-47.8618965
405,12.6566,-36.6590996,-46.5575943
406,12.6385002,-38.2252007,-46.3423996
407,13.3653002,-38.5885963,-45.0521965
408,14.8741999,-38.6749954,-45.1440964
409,15.2644997,-38.9177971,-43.675499
410,15.3699999,-37.5522995,-42.9013977
411,15.5979004,-37.855999,-41.3909988
412,15.8903999,-36.6819,-40.414196
413,16.0217991,-37.3041,-38.9383965
414,16.2315998,-36.3553009,-37.6503983
415,16.4123993,-37.1419983,-36.3899994
416,15.1540003,-37.986599,-36.0555
417,15.3940001,-38.7024956,-34.6738014
418,14.1083002,-39.4177971,-34.1254005
419,13.6345997,-40.5221977,-35.024601
420,35.0970001,24.9573994,37.5507011
421,34.8585014,25.8027992,36.3055992
422,35.3438988,24.8904991,35.0937004
423,36.8875008,24.9748001,35.0195007
424,37.6554985,23.9832001,34.1240997
425,37.4045982,22.5251999,34.5844994
426,37.8644981,22.2919006,35.9936981
427,39.3811989,22.5443993,36.0252991
428,39.803299,22.7015991,37.4599991
429,39.3871956,23.9799995,38.1841011
430,40.0460968,24.1180992,39.5592957
431,39.6521988,25.4822006,40.2236977
432,39.4622955,25.4797001,41.7652969
433,40.8309975,25.4046001,42.4418983
434,40.7609978,25.3794994,43.9426956
435,39.7850952,24.2933998,44.5557976
436,39.8630981,24.1229992,46.0343971
437,38.4770966,23.7532005,46.6900978
438,37.4906006,24.9193993,46.7100983
439,36.0287018,24.6553001,47.0159988
440,35.3693008,24.3927994,45.6387978
441,35.3771019,25.4169006,44.5470963
442,35.3726997,24.8854008,43.1289978
443,35.9654999,23.5056992,43.0749969
444,36.2084007,22.9102993,41.6858978
445,34.8446007,22.3048992,41.1163979
446,34.8362007,21.6170006,39.7615967
447,33.8075981,20.5690002,39.3407974
448,34.2439003,19.6189995,38.1944008
449,33.5253983,19.7912998,36.8515015
450,3.2888999,-28.6699009,-18.0023994
451,2.29327011,-29.6613998,-18.5897999
452,0.80082798,-29.3687992,-18.1361008
453,-0.286089003,-29.7082005,-19.2709007
454,-0.0432340987,-29.0963993,-20.6431999
455,-1.07884002,-28.0356007,-20.9486008
456,-2.53025007,-28.5235996,-21.0638008
457,-3.24312997,-27.156601,-21.4589996
458,-4.77674007,-27.2250004,-21.4540997
459,-5.36347008,-25.8321991,-21.7707996
460,-6.94162989,-25.7931995,-21.7966003
461,-7.62542009,-24.4500999,-22.0844994
462,-9.04389954,-24.5303001,-21.6012001
463,-9.40552044,-23.1546993,-21.0107994
464,-8.72568989,-22.9008007,-19.6152992
465,-8.76366997,-21.4276009,-19.4174995
466,-10.0935001,-20.7992992,-19.0811996
467,-10.2175999,-19.3845997,-18.7700005
468,-9.95740032,-18.4260998,-19.9619999
469,-8.50399017,-17.9995995,-20.2014008
470,-8.41833019,-16.8321991,-21.1692009
471,-7.02241993,-16.5403996,-21.8659
472,-7.13874006,-15.4640999,-22.9633999
473,-5.69794989,-15.2388,-23.4172001
474,-5.60426998,-14.5748997,-24.7847004
475,-6.24053001,-15.2665997,-26.0722008
476,-6.19715977,-14.2797003,-27.2730007
477,-6.64970016,-12.8583002,-27.094101
478,-6.73379993,-12.3273001,-28.5403004
479,-7.49139023,-13.2924004,-29.5438995
480,-7.61532021,34.4518013,29.5452003
481,-8.60435963,33.3560982,29.9950008
482,-9.83479977,33.9552994,30.6184006
483,-9.4063797,34.6077003,31.9055996
484,-10.3429003,35.6383018,32.6459007
485,-11.7322998,35.1329994,33.0764999
486,-12.3723001,35.9841995,34.1113014
487,-12.8654003,37.3988991,33.7699013
488,-13.8755999,37.9382019,34.8166008
489,-15.1597004,37.0912018,34.5979996
490,-16.2091007,37.3913002,35.7559013
491,-15.7096004,37.1654015,37.1943016
492,-16.6338997,37.6399002,38.2739983
493,-17.9892006,36.9920006,38.2887001
494,-18.9312992,37.5685997,39.3301964
495,-20.2847004,37.8125,38.7988968
496,-20.4566002,38.5287971,37.4487
497,-19.6597996,39.8934975,37.3959007
498,-19.1095009,40.4348984,36.0475998
499,-19.9431,39.8180962,34.8590012
500,-19.7098999,40.3168983,33.4613991
501,-20.6200008,39.7708969,32.3422012
502,-20.3094997,40.0618973,30.8703995
503,-21.0883007,39.4403954,29.7586994
504,-20.9008007,40.0687981,28.3957996
505,-21.4421005,41.4871979,28.2591
506,-21.4717999,41.9263954,26.7632999
507,-22.5401993,41.2416954,25.8855991
508,-22.7416,42.0808983,24.6499996
509,-22.9230003,43.5851974,24.9389
510,33.8027992,-17.2644997,23.0569992
511,34.0233002,-18.8223,22.8262997
512,34.5632019,-19.5804005,24.0198002
513,34.4436989,-21.1005993,23.9603004
514,34.3221016,-21.5951004,25.3724995
515,35.6394005,-21.4256001,26.1646996
516,36.0634003,-22.5828991,27.0387001
517,36.3260002,-24.0196991,26.5835991
518,36.6390991,-24.9792004,27.7199001
519,35.4944992,-24.8239002,28.6966991
520,35.4359016,-25.7597008,30.0107002
521,34.4082985,-25.2945004,31.1748009
522,34.6048012,-25.8412991,32.5171013
523,34.6669998,-27.3589993,32.5112
524,33.3300018,-28.1228008,32.0867996
525,32.1584015,-28.0872002,33.0528984
526,32.514801,-28.7052994,34.3524017
527,31.191,-28.7893009,35.198101
528,30.3631992,-27.4377995,35.2755013
529,28.9265995,-27.6993008,35.6787987
530,28.7252998,-28.6718006,36.9080009
531,27.6378002,-29.6207008,37.232399
532,26.4808006,-29.0009995,38.1004982
533,25.7931995,-27.6716995,37.6267014
534,25.1653996,-27.6658001,36.2000008
535,25.1168995,-26.2467003,35.6851006
536,24.4440994,-26.0342007,34.299099
537,24.8827,-24.6993999,33.6520996
538,24.6548004,-23.5077991,34.5774002
539,25.2847996,-22.2201996,34.036499
540,-33.985199,16.6891003,6.54703999
541,-33.2168007,15.7283001,5.7327199
542,-31.9801006,16.4445,5.05362988
543,-30.7101002,16.8159008,5.8642602
544,-29.4043007,17.0146008,5.04595995
545,-28.8094997,15.8319998,4.3112998
546,-27.6553001,16.3771992,3.43888998
547,-26.9081001,15.3512001,2.66176009
548,-25.3836994,15.5621004,2.42858005
549,-24.5930004,14.4836998,1.61450005
550,-24.9129009,14.2721996,0.177637994
551,-26.2553997,13.7377996,-0.234317005
552,-26.4741993,13.7177,-1.76744998
553,-27.8661995,13.6943998,-2.3048501
554,-27.6200008,13.8323002,-3.80558991
555,-26.9522991,15.1104002,-4.13702011
556,-26.7567005,15.4687004,-5.64807987
557,-25.6919003,16.4706001,-6.0935998
558,-25.9403992,16.9141998,-7.53360987
559,-24.9874992,17.9473,-7.93287992
560,-24.9230003,18.1833992,-9.48573971
561,-24.4874001,17.1501999,-10.4335003
562,-24.6790009,17.4943008,-11.9466
563,-26.0636997,17.8297005,-12.5046997
564,-26.2070007,18.1002998,-14.0284996
565,-25.5394001,17.0184994,-14.9413996
566,-25.3626995,17.5135002,-16.4158001
567,-26.6940994,18.0177994,-17.0841999
568,-27.7901993,16.9827003,-17.4097996
569,-28.9943008,17.5699997,-18.1168003
570,-29.9466,-17.3239002,14.6669998
571,-30.9044991,-16.3439007,13.8726997
572,-31.2742996,-17.1571999,12.6181002
573,-30.2005005,-17.2476997,11.5375004
574,-30.6921997,-18.1875992,10.3999004
575,-29.8435001,-18.2169991,9.13951015
576,-30.4522991,-19.0575008,8.01951027
577,-29.4144993,-19.309,6.95113993
578,-29.9911003,-20.1331997,5.79261017
579,-28.8586998,-20.4496994,4.81030989
580,-29.3994007,-21.0272007,3.52543998
581,-29.0242004,-20.3022995,2.21243
582,-29.5135002,-20.8136997,0.853367984
583,-28.8999004,-20.0804005,-0.334297001
584,-28.6268997,-18.6025009,-0.238751993
585,-28.4636002,-17.9531002,-1.59499002
586,-29.3386002,-18.6378002,-2.63533998
587,-29.4458008,-17.6923008,-3.82645011
588,-29.7947006,-18.3582001,-5.21773005
589,-29.5466995,-17.2985992,-6.31259012
590,-30.3668003,-15.9892998,-6.10020018
591,-31.7245007,-15.9977999,-6.7793498
592,-32.6309013,-14.8432999,-6.26356983
593,-33.8550987,-14.6396999,-7.0936799
594,-33.5433006,-14.1887999,-8.50574017
595,-34.4348984,-13.1367998,-9.04047012
596,-34.0402985,-12.7818003,-10.4927998
597,-34.9441986,-11.7589998,-11.1360998
598,-34.3408012,-11.2722998,-12.5003004
599,-34.0690002,-12.3885002,-13.4527998
600,-31.0389996,-11.4115,-4.78922987
601,-32.1846008,-10.4757996,-5.10187006
602,-31.8365002,-9.02536964,-5.40716982
603,-33.0186005,-8.11116982,-5.60810995
604,-32.5623016,-6.68634987,-5.9519701
605,-33.7678986,-5.64035988,-5.84321022
606,-33.3051987,-4.22930002,-5.93797016
607,-34.3120995,-3.02655005,-5.6023798
608,-33.7458,-1.72262001,-6.19012022
609,-34.7851982,-0.820966005,-6.97137022
610,-34.4597015,0.621796012,-7.33114004
611,-35.8820992,1.15289998,-7.44880009
612,-35.9973984,2.62601995,-7.94103003
613,-36.1302986,3.78456998,-6.96353006
614,-35.9352989,5.27891016,-7.47827005
615,-36.9828987,6.00263977,-8.40680981
616,-36.8869019,7.52153015,-8.54998016
617,-38.1902008,8.39445972,-8.83611965
618,-38.7957954,8.26817989,-10.2309999
619,-39.824398,9.28896999,-10.6822004
620,-40.239296,8.77239037,-12.0838003
621,-40.6675987,7.29421997,-11.9681997
